sample_class_id,term_id,key_name,ja,en
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,3250c45d-0ed6-1438-43b5-eb679918604a,sample.specific.organic.chemical-formula,有機材料,organic material
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,70c2c751-5404-19b7-4a5e-981e6cebbb15,sample.specific.organic.name,有機材料,organic material
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,e2d20d02-2e38-2cd3-b1b3-66fdb8a11057,sample.specific.organic.cas-number,有機材料,organic material
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,518e26a0-4262-86f5-3598-80e18e6ff2af,sample.specific.organic.pubchem,有機材料,organic material
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,3a775d54-5c13-fe66-6405-29c05bc931ce,sample.specific.organic.viscosity,有機材料,organic material
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,659da80e-c2ee-2986-41ce-68201b3bc4dd,sample.specific.organic.boiling-point,有機材料,organic material
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,4efc4c3b-727c-c752-cf28-701b55dba1af,sample.specific.organic.melting-temperature,有機材料,organic material
932e4fe1-9724-305f-ffc5-1908c31c83e5,70c2c751-5404-19b7-4a5e-981e6cebbb15,sample.specific.inorganic.name,無機材料,inorganic material
932e4fe1-9724-305f-ffc5-1908c31c83e5,3250c45d-0ed6-1438-43b5-eb679918604a,sample.specific.inorganic.chemical-formula,無機材料,inorganic material
932e4fe1-9724-305f-ffc5-1908c31c83e5,f63149a4-e57c-4273-4c1e-dffa41356d28,sample.specific.inorganic.space-group,無機材料,inorganic material
a674a8ef-efa8-9497-4ed4-74de55fafddb,3250c45d-0ed6-1438-43b5-eb679918604a,sample.specific.metals.chemical-formula,金属・合金,metals and alloys
a674a8ef-efa8-9497-4ed4-74de55fafddb,70c2c751-5404-19b7-4a5e-981e6cebbb15,sample.specific.metals.name,金属・合金,metals and alloys
a674a8ef-efa8-9497-4ed4-74de55fafddb,e2d20d02-2e38-2cd3-b1b3-66fdb8a11057,sample.specific.metals.cas-number,金属・合金,metals and alloys
a674a8ef-efa8-9497-4ed4-74de55fafddb,f63149a4-e57c-4273-4c1e-dffa41356d28,sample.specific.metals.space-group,金属・合金,metals and alloys
a674a8ef-efa8-9497-4ed4-74de55fafddb,efcf34e7-4308-c195-6691-6f4d28ffc9bb,sample.specific.metals.crystal-structure,金属・合金,metals and alloys
a674a8ef-efa8-9497-4ed4-74de55fafddb,659da80e-c2ee-2986-41ce-68201b3bc4dd,sample.specific.metals.boiling-point,金属・合金,metals and alloys
a674a8ef-efa8-9497-4ed4-74de55fafddb,4efc4c3b-727c-c752-cf28-701b55dba1af,sample.specific.metals.melting-temperature,金属・合金,metals and alloys
342ba516-4d02-171c-9bc4-70a3134b47a8,3250c45d-0ed6-1438-43b5-eb679918604a,sample.specific.polymers.chemical-formula,ポリマー,polymers
342ba516-4d02-171c-9bc4-70a3134b47a8,70c2c751-5404-19b7-4a5e-981e6cebbb15,sample.specific.polymers.name,ポリマー,polymers
342ba516-4d02-171c-9bc4-70a3134b47a8,e2d20d02-2e38-2cd3-b1b3-66fdb8a11057,sample.specific.polymers.cas-number,ポリマー,polymers
342ba516-4d02-171c-9bc4-70a3134b47a8,518e26a0-4262-86f5-3598-80e18e6ff2af,sample.specific.polymers.pubchem,ポリマー,polymers
342ba516-4d02-171c-9bc4-70a3134b47a8,4efc4c3b-727c-c752-cf28-701b55dba1af,sample.specific.polymers.melting-temperature,ポリマー,polymers
52148afb-6759-23e8-c8b8-33912ec5bfcf,70c2c751-5404-19b7-4a5e-981e6cebbb15,sample.specific.semiconductors.name,半導体,semiconductors
961c9637-9b83-0e9d-e60e-ffc1e2517afd,70c2c751-5404-19b7-4a5e-981e6cebbb15,sample.specific.ceramics.name,セラミックス,ceramics
0dde5969-3039-739b-b33b-97df40450790,70c2c751-5404-19b7-4a5e-981e6cebbb15,sample.specific.biological.name,生物学的物質,biological
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,dc27a956-263e-f920-e574-5beec912a247,sample.specific.organic-material.molecular-weight,有機材料,organic material
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,efc6a0d5-313e-1871-190c-baaff7d1bf6c,sample.specific.organic-material.SMILES-String,有機材料,organic material
0dde5969-3039-739b-b33b-97df40450790,0444cf53-db47-b208-7b5f-54429291a140,sample.specific.biological.sample-type,生物学的物質,biological
0dde5969-3039-739b-b33b-97df40450790,fc30c31d-12a3-591a-c837-4f06ab458de0,sample.specific.biological.taxonomy,生物学的物質,biological
0dde5969-3039-739b-b33b-97df40450790,9a23002a-c398-e521-081a-24b6cd32dbbd,sample.specific.biological.cell-line,生物学的物質,biological
0dde5969-3039-739b-b33b-97df40450790,b4ce4016-e2bf-e5a1-7cae-ed496c7a776f,sample.specific.biological.protein-name,生物学的物質,biological
0dde5969-3039-739b-b33b-97df40450790,8c9b1a88-1530-24d3-4b2e-5441eee5c24f,sample.specific.biological.gene-name,生物学的物質,biological
0dde5969-3039-739b-b33b-97df40450790,047e30f3-f294-e58d-cbe4-6bb588bf4cf8,sample.specific.biological.ncbi-accession-number,生物学的物質,biological
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,9270879d-d94e-4d3f-2d5c-19568e040004,sample.specific.organic-material.inchi,有機材料,organic material
01cb3c01-37a4-5a43-d8ca-f523ca99a75b,3edadcff-8a85-51d9-708f-8f76bf055377,sample.specific.organic-material.inchi-key,有機材料,organic material
